Gene_id,Genename,log2FoldChange(CIPvsH2O),significant(CIPvsH2O),CIP_avg_fpkm,H2O_avg_fpkm,biological_process,biological_process_description,cellular_component,cellular_component_description,molecular_function,molecular_function_description,KEGG AnnotInfo,KEGG url,Description,FPKM_Difference,Rank_FPKM,Rank_Log2FC,Effect_Size
b2279,nuoK,-1.6865,DOWN,29.668336868962896,59.9703209052166,GO:0009161//GO:0046034//GO:0016310//GO:0006811//GO:0009199//GO:0009150//GO:0009126//GO:0034641//GO:0009123//GO:0042278//GO:0071704//GO:0044238//GO:0009167//GO:0072521//GO:0006091//GO:1901360//GO:0009987//GO:1902578//GO:0042773//GO:0044281//GO:0009141//GO:0044765//GO:0044763//GO:0044710//GO:0009259//GO:0055086//GO:0008152//GO:0022900//GO:0009144//GO:0006753//GO:1901657//GO:0055114//GO:0046128//GO:0006725//GO:0019693//GO:0044237//GO:0046483//GO:0006119//GO:0044699//GO:0009116//GO:0006163//GO:0045333//GO:0022904//GO:0006796//GO:1901135//GO:1901564//GO:0006793//GO:0006807//GO:0019637//GO:0006810//GO:0009119//GO:0008150//GO:0051179//GO:0015980//GO:0006139//GO:0009117//GO:0009205//GO:0051234,ribonucleoside monophosphate metabolic process//ATP metabolic process//phosphorylation//ion transport//ribonucleoside triphosphate metabolic process//purine ribonucleotide metabolic process//purine nucleoside monophosphate metabolic process//cellular nitrogen compound metabolic process//nucleoside monophosphate metabolic process//purine nucleoside metabolic process//organic substance metabolic process//primary metabolic process//purine ribonucleoside monophosphate metabolic process//purine-containing compound metabolic process//generation of precursor metabolites and energy//organic cyclic compound metabolic process//cellular process//single-organism localization//ATP synthesis coupled electron transport//small molecule metabolic process//nucleoside triphosphate metabolic process//single-organism transport//single-organism cellular process//single-organism metabolic process//ribonucleotide metabolic process//nucleobase-containing small molecule metabolic process//metabolic process//electron transport chain//purine nucleoside triphosphate metabolic process//nucleoside phosphate metabolic process//glycosyl compound metabolic process//oxidation-reduction process//purine ribonucleoside metabolic process//cellular aromatic compound metabolic process//ribose phosphate metabolic process//cellular metabolic process//heterocycle metabolic process//oxidative phosphorylation//single-organism process//nucleoside metabolic process//purine nucleotide metabolic process//cellular respiration//respiratory electron transport chain//phosphate-containing compound metabolic process//carbohydrate derivative metabolic process//organonitrogen compound metabolic process//phosphorus metabolic process//nitrogen compound metabolic process//organophosphate metabolic process//transport//ribonucleoside metabolic process//biological_process//localization//energy derivation by oxidation of organic compounds//nucleobase-containing compound metabolic process//nucleotide metabolic process//purine ribonucleoside triphosphate metabolic process//establishment of localization,GO:0016020//GO:0005575,membrane//cellular_component,GO:0022891//GO:0022838//GO:0016651//GO:0003824//GO:0003674//GO:0022857//GO:0015267//GO:0005216//GO:0015075//GO:0022803//GO:0022892//GO:0005215//GO:0016491,"substrate-specific transmembrane transporter activity//substrate-specific channel activity//oxidoreductase activity, acting on NAD(P)H//catalytic activity//molecular_function//transmembrane transporter activity//channel activity//ion channel activity//ion transmembrane transporter activity//passive transmembrane transporter activity//substrate-specific transporter activity//transporter activity//oxidoreductase activity","K00340 NADH-quinone oxidoreductase subunit K [EC:1.6.5.3] | (RefSeq) nuoK; NADH:ubiquinone oxidoreductase, membrane subunit K",http://www.genome.jp/dbget-bin/www_bget?eco:b2279,NADH:ubiquinone oxidoreductase%2C membrane subunit K,-30.301984036253707,879.0,262.0,1141.0
b0925,ldtD,-1.0797,DOWN,143.85077077121701,194.6686904630743,--,--,--,--,GO:0016740//GO:0003824//GO:0003674,transferase activity//catalytic activity//molecular_function,"K21470 L,D-transpeptidase YcbB | (RefSeq) ldtD; murein L,D-transpeptidase",http://www.genome.jp/dbget-bin/www_bget?eco:b0925,murein L%2CD-transpeptidase,-50.8179196918573,545.0,599.0,1144.0
b1068,yceM,-1.4223,DOWN,52.20378333556115,92.50630141117517,--,--,--,--,GO:0016491//GO:0003824//GO:0003674,oxidoreductase activity//catalytic activity//molecular_function,K03810 virulence factor | (RefSeq) yceM; putative oxidoreductase,http://www.genome.jp/dbget-bin/www_bget?eco:b1068,putative oxidoreductase,-40.302518075614024,769.0,377.0,1146.0
b0008,talB,-0.5672,DOWN,1782.2664429470801,1748.3124601985767,GO:0008152//GO:0071704//GO:0044238//GO:0005975//GO:0008150,metabolic process//organic substance metabolic process//primary metabolic process//carbohydrate metabolic process//biological_process,--,--,--,--,K00616 transaldolase [EC:2.2.1.2] | (RefSeq) talB; transaldolase B,http://www.genome.jp/dbget-bin/www_bget?eco:b0008,transaldolase B,33.95398274850345,76.0,1071.0,1147.0
b1536,ydeI,-1.0428,DOWN,172.111464670885,203.61054844676232,--,--,--,--,--,--,no KO assigned | (RefSeq) ydeI; hydrogen peroxide resistance OB fold protein; putative periplasmic protein,http://www.genome.jp/dbget-bin/www_bget?eco:b1536,hydrogen peroxide resistance OB fold protein%3B putative periplasmic protein,-31.499083775877324,525.0,622.0,1147.0
b4152,frdC,-1.2048,DOWN,88.93084937645155,142.22368847066667,--,--,GO:0016020//GO:0005575,membrane//cellular_component,GO:0003824//GO:0016627//GO:0003674//GO:0016491,"catalytic activity//oxidoreductase activity, acting on the CH-CH group of donors//molecular_function//oxidoreductase activity","K00246 fumarate reductase subunit C | (RefSeq) frdC; fumarate reductase (anaerobic), membrane anchor subunit",http://www.genome.jp/dbget-bin/www_bget?eco:b4152,fumarate reductase (anaerobic)%2C membrane anchor subunit,-53.292839094215125,638.0,509.0,1147.0
b3697,yidA,-1.2807,DOWN,75.56595217986839,120.06987592425467,--,--,--,--,--,--,no KO assigned | (RefSeq) yidA; sugar phosphate phosphatase,http://www.genome.jp/dbget-bin/www_bget?eco:b3697,sugar phosphate phosphatase,-44.503923744386285,697.0,453.0,1150.0
b2440,eutC,-1.6868,DOWN,27.6410263123228,57.840349932731534,GO:1901564//GO:0019752//GO:0006807//GO:0008150//GO:0006082//GO:0043436//GO:0044699//GO:0006520//GO:0044237//GO:0044281//GO:0044763//GO:0009987//GO:0008152//GO:0044710//GO:0071704//GO:0044238,organonitrogen compound metabolic process//carboxylic acid metabolic process//nitrogen compound metabolic process//biological_process//organic acid metabolic process//oxoacid metabolic process//single-organism process//cellular amino acid metabolic process//cellular metabolic process//small molecule metabolic process//single-organism cellular process//cellular process//metabolic process//single-organism metabolic process//organic substance metabolic process//primary metabolic process,--,--,GO:0008851//GO:0016829//GO:0016840//GO:0003674//GO:0003824//GO:0016841,ethanolamine ammonia-lyase activity//lyase activity//carbon-nitrogen lyase activity//molecular_function//catalytic activity//ammonia-lyase activity,"K03736 ethanolamine ammonia-lyase small subunit [EC:4.3.1.7] | (RefSeq) eutC; ethanolamine ammonia-lyase, small subunit (light chain)",http://www.genome.jp/dbget-bin/www_bget?eco:b2440,ethanolamine ammonia-lyase%2C small subunit (light chain),-30.199323620408734,891.0,261.0,1152.0
b0844,ybjI,-0.978,DOWN,190.600198680435,239.07929563825402,--,--,--,--,--,--,K20861 FMN hydrolase / 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase [EC:3.1.3.102 3.1.3.104] | (RefSeq) ybjI; 5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase; pyrimidine phosphatase; riboflavin synthesis,http://www.genome.jp/dbget-bin/www_bget?eco:b0844,5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase%3B pyrimidine phosphatase%3B riboflavin synthesis,-48.479096957819024,475.0,682.0,1157.0
b2599,pheA,-1.2318,DOWN,85.0440643559354,130.37279696474698,GO:0044710//GO:0009094//GO:0008152//GO:0016053//GO:0009987//GO:1902223//GO:0044711//GO:0044281//GO:0043648//GO:0044763//GO:0044283//GO:0071704//GO:0044238//GO:0008652//GO:0009058//GO:1901360//GO:1901362//GO:0009095//GO:0044249//GO:0046394//GO:0019438//GO:0006807//GO:0008150//GO:1901576//GO:0019752//GO:1902221//GO:0009072//GO:1901564//GO:0006520//GO:0044237//GO:0006558//GO:0046417//GO:0044699//GO:0006082//GO:0043436//GO:0009073//GO:1901566//GO:1901605//GO:0006725//GO:1901607,"single-organism metabolic process//L-phenylalanine biosynthetic process//metabolic process//organic acid biosynthetic process//cellular process//erythrose 4-phosphate/phosphoenolpyruvate family amino acid biosynthetic process//single-organism biosynthetic process//small molecule metabolic process//dicarboxylic acid metabolic process//single-organism cellular process//small molecule biosynthetic process//organic substance metabolic process//primary metabolic process//cellular amino acid biosynthetic process//biosynthetic process//organic cyclic compound metabolic process//organic cyclic compound biosynthetic process//aromatic amino acid family biosynthetic process, prephenate pathway//cellular biosynthetic process//carboxylic acid biosynthetic process//aromatic compound biosynthetic process//nitrogen compound metabolic process//biological_process//organic substance biosynthetic process//carboxylic acid metabolic process//erythrose 4-phosphate/phosphoenolpyruvate family amino acid metabolic process//aromatic amino acid family metabolic process//organonitrogen compound metabolic process//cellular amino acid metabolic process//cellular metabolic process//L-phenylalanine metabolic process//chorismate metabolic process//single-organism process//organic acid metabolic process//oxoacid metabolic process//aromatic amino acid family biosynthetic process//organonitrogen compound biosynthetic process//alpha-amino acid metabolic process//cellular aromatic compound metabolic process//alpha-amino acid biosynthetic process",--,--,GO:0016836//GO:0046872//GO:0016835//GO:0003824//GO:0003674//GO:0004664//GO:0016829//GO:0005506//GO:0043169//GO:0043167//GO:0005488//GO:0046914,hydro-lyase activity//metal ion binding//carbon-oxygen lyase activity//catalytic activity//molecular_function//prephenate dehydratase activity//lyase activity//iron ion binding//cation binding//ion binding//binding//transition metal ion binding,"K14170 chorismate mutase / prephenate dehydratase [EC:5.4.99.5 4.2.1.51] | (RefSeq) pheA; chorismate mutase and prephenate dehydratase, P-protein",http://www.genome.jp/dbget-bin/www_bget?eco:b2599,chorismate mutase and prephenate dehydratase%2C P-protein,-45.32873260881158,666.0,493.0,1159.0
b1973,zinT,-2.474,DOWN,6.066408368145295,21.518081562100395,--,--,--,--,GO:0003674//GO:0046872//GO:0043167//GO:0005488//GO:0046914//GO:0008270//GO:0043169,molecular_function//metal ion binding//ion binding//binding//transition metal ion binding//zinc ion binding//cation binding,"no KO assigned | (RefSeq) zinT; zinc and cadmium binding protein, periplasmic",http://www.genome.jp/dbget-bin/www_bget?eco:b1973,zinc and cadmium binding protein%2C periplasmic,-15.4516731939551,1069.0,91.0,1160.0
b2079,baeR,-1.4631,DOWN,47.068626034417,82.3685248601999,GO:0006139//GO:0007165//GO:0008150//GO:1901576//GO:0097659//GO:0006807//GO:0006351//GO:0019222//GO:0018130//GO:0051171//GO:0050794//GO:2000112//GO:0016070//GO:0010467//GO:0060255//GO:1903506//GO:0044260//GO:0032774//GO:0044699//GO:0046483//GO:0044237//GO:0050789//GO:0010556//GO:0050896//GO:0006725//GO:0031326//GO:0043170//GO:0006355//GO:0000160//GO:0008152//GO:0051716//GO:0007154//GO:0044763//GO:0034645//GO:2001141//GO:0034654//GO:0090304//GO:0051252//GO:0044271//GO:0019219//GO:0010468//GO:0009987//GO:0009059//GO:0044700//GO:1901362//GO:0065007//GO:1901360//GO:0009058//GO:0023052//GO:0071704//GO:0044238//GO:0031323//GO:0009889//GO:0019438//GO:0080090//GO:0034641//GO:0035556//GO:0044249,"nucleobase-containing compound metabolic process//signal transduction//biological_process//organic substance biosynthetic process//nucleic acid-templated transcription//nitrogen compound metabolic process//transcription, DNA-templated//regulation of metabolic process//heterocycle biosynthetic process//regulation of nitrogen compound metabolic process//regulation of cellular process//regulation of cellular macromolecule biosynthetic process//RNA metabolic process//gene expression//regulation of macromolecule metabolic process//regulation of nucleic acid-templated transcription//cellular macromolecule metabolic process//RNA biosynthetic process//single-organism process//heterocycle metabolic process//cellular metabolic process//regulation of biological process//regulation of macromolecule biosynthetic process//response to stimulus//cellular aromatic compound metabolic process//regulation of cellular biosynthetic process//macromolecule metabolic process//regulation of transcription, DNA-templated//phosphorelay signal transduction system//metabolic process//cellular response to stimulus//cell communication//single-organism cellular process//cellular macromolecule biosynthetic process//regulation of RNA biosynthetic process//nucleobase-containing compound biosynthetic process//nucleic acid metabolic process//regulation of RNA metabolic process//cellular nitrogen compound biosynthetic process//regulation of nucleobase-containing compound metabolic process//regulation of gene expression//cellular process//macromolecule biosynthetic process//single organism signaling//organic cyclic compound biosynthetic process//biological regulation//organic cyclic compound metabolic process//biosynthetic process//signaling//organic substance metabolic process//primary metabolic process//regulation of cellular metabolic process//regulation of biosynthetic process//aromatic compound biosynthetic process//regulation of primary metabolic process//cellular nitrogen compound metabolic process//intracellular signal transduction//cellular biosynthetic process",--,--,GO:0005488//GO:0097159//GO:0003677//GO:0003676//GO:0003674//GO:1901363,binding//organic cyclic compound binding//DNA binding//nucleic acid binding//molecular_function//heterocyclic compound binding,"K07664 two-component system, OmpR family, response regulator BaeR | (RefSeq) baeR; response regulator in two-component regulatory system with BaeS",http://www.genome.jp/dbget-bin/www_bget?eco:b2079,response regulator in two-component regulatory system with BaeS,-35.2998988257829,804.0,356.5,1160.5
b4212,ytfH,-1.6128,DOWN,33.43592716452085,64.9044816486458,GO:0009058//GO:0031323//GO:0044238//GO:0071704//GO:0065007//GO:1901362//GO:1901360//GO:0044249//GO:0019438//GO:0009889//GO:0034641//GO:0080090//GO:0008152//GO:0009059//GO:0010468//GO:0009987//GO:0019219//GO:0090304//GO:0034654//GO:2001141//GO:0034645//GO:0044271//GO:0051252//GO:0010556//GO:0050789//GO:0044237//GO:0046483//GO:0032774//GO:0044260//GO:0043170//GO:0006355//GO:0006725//GO:0031326//GO:0008150//GO:1901576//GO:0006351//GO:0019222//GO:0006807//GO:0097659//GO:0006139//GO:0060255//GO:0010467//GO:0016070//GO:1903506//GO:0018130//GO:2000112//GO:0051171//GO:0050794,"biosynthetic process//regulation of cellular metabolic process//primary metabolic process//organic substance metabolic process//biological regulation//organic cyclic compound biosynthetic process//organic cyclic compound metabolic process//cellular biosynthetic process//aromatic compound biosynthetic process//regulation of biosynthetic process//cellular nitrogen compound metabolic process//regulation of primary metabolic process//metabolic process//macromolecule biosynthetic process//regulation of gene expression//cellular process//regulation of nucleobase-containing compound metabolic process//nucleic acid metabolic process//nucleobase-containing compound biosynthetic process//regulation of RNA biosynthetic process//cellular macromolecule biosynthetic process//cellular nitrogen compound biosynthetic process//regulation of RNA metabolic process//regulation of macromolecule biosynthetic process//regulation of biological process//cellular metabolic process//heterocycle metabolic process//RNA biosynthetic process//cellular macromolecule metabolic process//macromolecule metabolic process//regulation of transcription, DNA-templated//cellular aromatic compound metabolic process//regulation of cellular biosynthetic process//biological_process//organic substance biosynthetic process//transcription, DNA-templated//regulation of metabolic process//nitrogen compound metabolic process//nucleic acid-templated transcription//nucleobase-containing compound metabolic process//regulation of macromolecule metabolic process//gene expression//RNA metabolic process//regulation of nucleic acid-templated transcription//heterocycle biosynthetic process//regulation of cellular macromolecule biosynthetic process//regulation of nitrogen compound metabolic process//regulation of cellular process",--,--,GO:0003674//GO:0003700//GO:0001071,"molecular_function//transcription factor activity, sequence-specific DNA binding//nucleic acid binding transcription factor activity",no KO assigned | (RefSeq) ytfH; DUF24 family HxlR-type putative transcriptional regulator,http://www.genome.jp/dbget-bin/www_bget?eco:b4212,DUF24 family HxlR-type putative transcriptional regulator,-31.46855448412495,865.0,296.0,1161.0
